# cmip6: regional means at warming levels for individual models - Rx5day
# anomalies w.r.t. 1850-1900
# warming levels: +1.5°C, +2.0°C, +3.0°C, +4.0°C
# index: Rx5day
# variable: pr
# units: %
,region,abbrevs,names,model,ens,exp,table,grid,varn,1.5,2.0,3.0,4.0
55,-4,global,Global,EC-Earth3-Veg-LR,r1i1p1f1,ssp370,day,gr,pr,5.77,8.14,13.16,17.9
56,-4,global,Global,EC-Earth3-Veg-LR,r1i1p1f1,ssp585,day,gr,pr,6.09,7.95,13.06,18.84
57,-4,global,Global,FGOALS-g3,r1i1p1f1,ssp245,day,gn,pr,4.66,5.91,,
58,-4,global,Global,FGOALS-g3,r1i1p1f1,ssp370,day,gn,pr,4.43,5.78,8.64,
59,-4,global,Global,FGOALS-g3,r1i1p1f1,ssp585,day,gn,pr,4.58,5.28,8.52,
60,-4,global,Global,GFDL-CM4,r1i1p1f1,ssp245,day,gr1,pr,5.47,7.48,,
61,-4,global,Global,GFDL-CM4,r1i1p1f1,ssp585,day,gr1,pr,5.79,7.7,11.31,14.9
62,-4,global,Global,GFDL-ESM4,r1i1p1f1,ssp245,day,gr1,pr,5.15,6.86,,
63,-4,global,Global,GFDL-ESM4,r1i1p1f1,ssp370,day,gr1,pr,4.41,4.93,9.02,
64,-4,global,Global,GFDL-ESM4,r1i1p1f1,ssp585,day,gr1,pr,4.51,6.42,9.45,
65,-4,global,Global,HadGEM3-GC31-LL,r1i1p1f3,ssp126,day,gn,pr,6.65,9.66,,
66,-4,global,Global,HadGEM3-GC31-LL,r1i1p1f3,ssp245,day,gn,pr,6.31,8.88,13.89,
67,-4,global,Global,HadGEM3-GC31-LL,r1i1p1f3,ssp585,day,gn,pr,6.24,9.06,14.82,19.21
68,-4,global,Global,HadGEM3-GC31-MM,r1i1p1f3,ssp126,day,gn,pr,6.21,8.75,,
69,-4,global,Global,HadGEM3-GC31-MM,r1i1p1f3,ssp585,day,gn,pr,5.97,8.44,13.32,18.07
70,-4,global,Global,IITM-ESM,r1i1p1f1,ssp126,day,gn,pr,4.07,,,
71,-4,global,Global,IITM-ESM,r1i1p1f1,ssp245,day,gn,pr,4.69,5.48,,
72,-4,global,Global,IITM-ESM,r1i1p1f1,ssp585,day,gn,pr,4.04,6.02,9.04,
73,-4,global,Global,INM-CM4-8,r1i1p1f1,ssp126,day,gr1,pr,3.49,,,
74,-4,global,Global,INM-CM4-8,r1i1p1f1,ssp245,day,gr1,pr,3.34,3.88,,
75,-4,global,Global,INM-CM4-8,r1i1p1f1,ssp370,day,gr1,pr,3.45,3.94,6.33,
76,-4,global,Global,INM-CM4-8,r1i1p1f1,ssp585,day,gr1,pr,3.7,4.33,6.76,
77,-4,global,Global,INM-CM5-0,r1i1p1f1,ssp126,day,gr1,pr,4.24,,,
78,-4,global,Global,INM-CM5-0,r1i1p1f1,ssp245,day,gr1,pr,4.19,5.1,,
79,-4,global,Global,INM-CM5-0,r1i1p1f1,ssp370,day,gr1,pr,4.33,5.16,8.97,
80,-4,global,Global,INM-CM5-0,r1i1p1f1,ssp585,day,gr1,pr,3.52,5.95,8.7,
81,-4,global,Global,IPSL-CM6A-LR,r1i1p1f1,ssp119,day,gr,pr,8.27,9.76,,
82,-4,global,Global,IPSL-CM6A-LR,r1i1p1f1,ssp126,day,gr,pr,7.65,10.03,,
83,-4,global,Global,IPSL-CM6A-LR,r1i1p1f1,ssp245,day,gr,pr,7.89,10.44,15.76,
84,-4,global,Global,IPSL-CM6A-LR,r1i1p1f1,ssp370,day,gr,pr,8.42,10.21,15.83,21.83
85,-4,global,Global,IPSL-CM6A-LR,r1i1p1f1,ssp585,day,gr,pr,7.55,10.35,15.54,20.28
86,-4,global,Global,KACE-1-0-G,r1i1p1f1,ssp126,day,gr,pr,5.4,8.32,,
87,-4,global,Global,KACE-1-0-G,r1i1p1f1,ssp245,day,gr,pr,5.46,7.75,13.0,
88,-4,global,Global,KACE-1-0-G,r1i1p1f1,ssp370,day,gr,pr,5.39,7.74,12.99,18.53
89,-4,global,Global,KACE-1-0-G,r1i1p1f1,ssp585,day,gr,pr,5.63,8.03,13.06,19.34
90,-4,global,Global,KIOST-ESM,r1i1p1f1,ssp126,day,gr1,pr,7.09,,,
91,-4,global,Global,KIOST-ESM,r1i1p1f1,ssp245,day,gr1,pr,7.38,10.37,,
92,-4,global,Global,KIOST-ESM,r1i1p1f1,ssp585,day,gr1,pr,7.38,11.19,15.5,
93,-4,global,Global,MIROC-ES2L,r1i1p1f2,ssp126,day,gn,pr,3.9,,,
94,-4,global,Global,MIROC-ES2L,r1i1p1f2,ssp245,day,gn,pr,3.91,4.81,,
95,-4,global,Global,MIROC-ES2L,r1i1p1f2,ssp370,day,gn,pr,3.09,3.73,5.93,
96,-4,global,Global,MIROC-ES2L,r1i1p1f2,ssp585,day,gn,pr,3.91,3.82,6.29,
97,-4,global,Global,MIROC6,r1i1p1f1,ssp126,day,gn,pr,3.77,,,
98,-4,global,Global,MIROC6,r1i1p1f1,ssp245,day,gn,pr,3.63,5.18,,
99,-4,global,Global,MIROC6,r1i1p1f1,ssp370,day,gn,pr,3.39,4.52,,
100,-4,global,Global,MIROC6,r1i1p1f1,ssp585,day,gn,pr,3.24,5.09,8.41,
101,-4,global,Global,MPI-ESM1-2-HR,r1i1p1f1,ssp126,day,gn,pr,2.74,,,
102,-4,global,Global,MPI-ESM1-2-HR,r1i1p1f1,ssp245,day,gn,pr,2.74,4.05,,
103,-4,global,Global,MPI-ESM1-2-HR,r1i1p1f1,ssp370,day,gn,pr,3.15,3.86,6.48,
104,-4,global,Global,MPI-ESM1-2-HR,r1i1p1f1,ssp585,day,gn,pr,3.23,4.6,7.4,
105,-4,global,Global,MPI-ESM1-2-LR,r1i1p1f1,ssp126,day,gn,pr,3.46,,,
106,-4,global,Global,MPI-ESM1-2-LR,r1i1p1f1,ssp245,day,gn,pr,3.7,4.77,,
107,-4,global,Global,MPI-ESM1-2-LR,r1i1p1f1,ssp370,day,gn,pr,3.9,5.55,6.88,
108,-4,global,Global,MPI-ESM1-2-LR,r1i1p1f1,ssp585,day,gn,pr,3.36,4.79,7.7,
109,-4,global,Global,MRI-ESM2-0,r1i1p1f1,ssp119,day,gn,pr,4.7,,,
110,-4,global,Global,MRI-ESM2-0,r1i1p1f1,ssp126,day,gn,pr,4.92,,,
