# cmip6: regional means at warming levels for individual models - TXx
# anomalies w.r.t. 1850-1900
# warming levels: +1.5°C, +2.0°C, +3.0°C, +4.0°C
# index: TXx
# variable: tasmax
# units: °C
region,abbrevs,names,model,ens,exp,table,grid,varn,1.5,2.0,3.0,4.0
-4,global,Global,GFDL-CM4,r1i1p1f1,ssp245,day,gr1,tasmax,1.43,1.91,,
-4,global,Global,GFDL-CM4,r1i1p1f1,ssp585,day,gr1,tasmax,1.4,1.91,2.91,3.95
-4,global,Global,GFDL-ESM4,r1i1p1f1,ssp245,day,gr1,tasmax,1.43,1.96,,
-4,global,Global,GFDL-ESM4,r1i1p1f1,ssp370,day,gr1,tasmax,1.48,1.95,2.93,
-4,global,Global,GFDL-ESM4,r1i1p1f1,ssp585,day,gr1,tasmax,1.46,1.99,2.93,
-4,global,Global,HadGEM3-GC31-LL,r1i1p1f3,ssp126,day,gn,tasmax,1.53,2.04,,
-4,global,Global,HadGEM3-GC31-LL,r1i1p1f3,ssp245,day,gn,tasmax,1.51,2.01,3.03,
-4,global,Global,HadGEM3-GC31-LL,r1i1p1f3,ssp585,day,gn,tasmax,1.55,2.07,3.06,4.1
-4,global,Global,HadGEM3-GC31-MM,r1i1p1f3,ssp126,day,gn,tasmax,1.52,2.02,,
-4,global,Global,HadGEM3-GC31-MM,r1i1p1f3,ssp585,day,gn,tasmax,1.54,2.03,3.03,4.11
-4,global,Global,INM-CM4-8,r1i1p1f1,ssp126,day,gr1,tasmax,1.42,,,
-4,global,Global,INM-CM4-8,r1i1p1f1,ssp245,day,gr1,tasmax,1.42,1.89,,
-4,global,Global,INM-CM4-8,r1i1p1f1,ssp370,day,gr1,tasmax,1.44,1.91,2.84,
-4,global,Global,INM-CM4-8,r1i1p1f1,ssp585,day,gr1,tasmax,1.45,1.93,2.82,
-4,global,Global,INM-CM5-0,r1i1p1f1,ssp126,day,gr1,tasmax,1.37,,,
-4,global,Global,INM-CM5-0,r1i1p1f1,ssp245,day,gr1,tasmax,1.42,1.89,,
