# cmip6: regional means at warming levels for individual models - SM_total
# anomalies w.r.t. 1850-1900
# warming levels: +1.5°C, +2.0°C, +3.0°C, +4.0°C
# index: SM_total
# variable: mrso
# units: σ
region,abbrevs,names,model,ens,exp,table,grid,varn,1.5,2.0,3.0,4.0
-4,global,Global,EC-Earth3,r1i1p1f1,ssp245,Lmon,gr,mrso,-2.45,-1.66,-2.65,
-4,global,Global,EC-Earth3,r1i1p1f1,ssp370,Lmon,gr,mrso,-2.33,-1.91,-2.26,-1.68
-4,global,Global,EC-Earth3,r1i1p1f1,ssp585,Lmon,gr,mrso,-1.17,-1.15,0.3,-1.27
-4,global,Global,EC-Earth3-AerChem,r1i1p1f1,ssp370,Lmon,gr,mrso,-2.68,-3.12,-2.99,-3.17
-4,global,Global,EC-Earth3-CC,r1i1p1f1,ssp245,Lmon,gr,mrso,-1.22,-1.58,-1.74,
-4,global,Global,EC-Earth3-CC,r1i1p1f1,ssp585,Lmon,gr,mrso,-1.15,-0.73,-1.23,-1.73
-4,global,Global,EC-Earth3-Veg,r1i1p1f1,ssp119,Lmon,gr,mrso,-0.66,0.32,,
-4,global,Global,EC-Earth3-Veg,r1i1p1f1,ssp126,Lmon,gr,mrso,-0.44,-0.65,,
-4,global,Global,EC-Earth3-Veg,r1i1p1f1,ssp245,Lmon,gr,mrso,-0.62,-0.55,-1.28,
-4,global,Global,EC-Earth3-Veg,r1i1p1f1,ssp370,Lmon,gr,mrso,-0.63,-0.23,-0.35,0.09
-4,global,Global,EC-Earth3-Veg,r1i1p1f1,ssp585,Lmon,gr,mrso,-0.49,0.02,-0.45,-0.56
-4,global,Global,EC-Earth3-Veg-LR,r1i1p1f1,ssp119,Lmon,gr,mrso,-2.57,,,
-4,global,Global,EC-Earth3-Veg-LR,r1i1p1f1,ssp126,Lmon,gr,mrso,-2.15,,,
-4,global,Global,EC-Earth3-Veg-LR,r1i1p1f1,ssp245,Lmon,gr,mrso,-2.49,-3.35,-2.81,
-4,global,Global,EC-Earth3-Veg-LR,r1i1p1f1,ssp370,Lmon,gr,mrso,-2.28,-2.2,-2.93,-2.14
-4,global,Global,EC-Earth3-Veg-LR,r1i1p1f1,ssp585,Lmon,gr,mrso,-1.89,-2.24,-2.53,-2.72
-4,global,Global,FGOALS-f3-L,r1i1p1f1,ssp126,Lmon,gn,mrso,10.54,17.72,,
-4,global,Global,FGOALS-f3-L,r1i1p1f1,ssp245,Lmon,gn,mrso,10.32,15.32,,
-4,global,Global,FGOALS-f3-L,r1i1p1f1,ssp370,Lmon,gn,mrso,10.74,15.74,25.63,
-4,global,Global,FGOALS-f3-L,r1i1p1f1,ssp585,Lmon,gn,mrso,10.6,16.45,25.52,34.05
