# cmip6: regional means at warming levels for individual models - TNn
# anomalies w.r.t. 1850-1900
# warming levels: +1.5°C, +2.0°C, +3.0°C, +4.0°C
# index: TNn
# variable: tasmin
# units: °C
region,abbrevs,names,model,ens,exp,table,grid,varn,1.5,2.0,3.0,4.0
-4,global,Global,GFDL-CM4,r1i1p1f1,ssp245,day,gr1,tasmin,1.97,2.6,,
-4,global,Global,GFDL-CM4,r1i1p1f1,ssp585,day,gr1,tasmin,1.98,2.59,3.74,5.07
-4,global,Global,GFDL-ESM4,r1i1p1f1,ssp245,day,gr1,tasmin,1.99,2.58,,
-4,global,Global,GFDL-ESM4,r1i1p1f1,ssp370,day,gr1,tasmin,2.01,2.62,3.85,
-4,global,Global,GFDL-ESM4,r1i1p1f1,ssp585,day,gr1,tasmin,1.99,2.52,3.83,
-4,global,Global,HadGEM3-GC31-LL,r1i1p1f3,ssp126,day,gn,tasmin,2.01,2.55,,
-4,global,Global,HadGEM3-GC31-LL,r1i1p1f3,ssp245,day,gn,tasmin,1.99,2.61,3.85,
-4,global,Global,HadGEM3-GC31-LL,r1i1p1f3,ssp585,day,gn,tasmin,2.03,2.67,3.88,5.24
-4,global,Global,HadGEM3-GC31-MM,r1i1p1f3,ssp126,day,gn,tasmin,1.97,2.62,,
-4,global,Global,HadGEM3-GC31-MM,r1i1p1f3,ssp585,day,gn,tasmin,1.97,2.64,4.01,5.34
-4,global,Global,INM-CM4-8,r1i1p1f1,ssp126,day,gr1,tasmin,1.91,,,
-4,global,Global,INM-CM4-8,r1i1p1f1,ssp245,day,gr1,tasmin,1.9,2.59,,
-4,global,Global,INM-CM4-8,r1i1p1f1,ssp370,day,gr1,tasmin,1.91,2.52,3.85,
-4,global,Global,INM-CM4-8,r1i1p1f1,ssp585,day,gr1,tasmin,1.85,2.52,3.85,
-4,global,Global,INM-CM5-0,r1i1p1f1,ssp126,day,gr1,tasmin,1.94,,,
-4,global,Global,INM-CM5-0,r1i1p1f1,ssp245,day,gr1,tasmin,1.91,2.56,,
-4,global,Global,INM-CM5-0,r1i1p1f1,ssp370,day,gr1,tasmin,1.98,2.58,3.96,
-4,global,Global,INM-CM5-0,r1i1p1f1,ssp585,day,gr1,tasmin,1.94,2.6,3.9,
-4,global,Global,IPSL-CM6A-LR,r1i1p1f1,ssp119,day,gr,tasmin,2.04,2.69,,
-4,global,Global,IPSL-CM6A-LR,r1i1p1f1,ssp126,day,gr,tasmin,1.99,2.6,,
-4,global,Global,IPSL-CM6A-LR,r1i1p1f1,ssp245,day,gr,tasmin,2.02,2.65,3.98,
-4,global,Global,IPSL-CM6A-LR,r1i1p1f1,ssp370,day,gr,tasmin,2.02,2.65,3.98,5.21
-4,global,Global,IPSL-CM6A-LR,r1i1p1f1,ssp585,day,gr,tasmin,2.03,2.65,3.99,5.28
-4,global,Global,KACE-1-0-G,r1i1p1f1,ssp126,day,gr,tasmin,2.1,2.72,,
-4,global,Global,KACE-1-0-G,r1i1p1f1,ssp245,day,gr,tasmin,2.12,2.76,4.01,
-4,global,Global,KACE-1-0-G,r1i1p1f1,ssp370,day,gr,tasmin,2.06,2.7,4.06,5.24
-4,global,Global,KACE-1-0-G,r1i1p1f1,ssp585,day,gr,tasmin,2.06,2.73,4.08,5.3
-4,global,Global,KIOST-ESM,r1i1p1f1,ssp126,day,gr1,tasmin,1.76,,,
-4,global,Global,KIOST-ESM,r1i1p1f1,ssp245,day,gr1,tasmin,1.77,2.37,,
-4,global,Global,MIROC-ES2L,r1i1p1f2,ssp126,day,gn,tasmin,1.82,,,
-4,global,Global,MIROC-ES2L,r1i1p1f2,ssp245,day,gn,tasmin,1.92,2.48,,
-4,global,Global,MIROC-ES2L,r1i1p1f2,ssp370,day,gn,tasmin,1.89,2.46,3.7,
-4,global,Global,MIROC-ES2L,r1i1p1f2,ssp585,day,gn,tasmin,1.83,2.49,3.64,
-4,global,Global,MIROC6,r1i1p1f1,ssp126,day,gn,tasmin,1.89,,,
-4,global,Global,MIROC6,r1i1p1f1,ssp245,day,gn,tasmin,1.85,2.46,,
-4,global,Global,MIROC6,r1i1p1f1,ssp370,day,gn,tasmin,1.93,2.53,,
-4,global,Global,MIROC6,r1i1p1f1,ssp585,day,gn,tasmin,1.81,2.46,3.73,
-4,global,Global,MPI-ESM1-2-HR,r1i1p1f1,ssp126,day,gn,tasmin,2.06,,,
-4,global,Global,MPI-ESM1-2-HR,r1i1p1f1,ssp245,day,gn,tasmin,2.07,2.7,,
-4,global,Global,MPI-ESM1-2-HR,r1i1p1f1,ssp370,day,gn,tasmin,2.11,2.85,4.09,
-4,global,Global,MPI-ESM1-2-HR,r1i1p1f1,ssp585,day,gn,tasmin,2.08,2.77,4.04,
-4,global,Global,MPI-ESM1-2-LR,r1i1p1f1,ssp126,day,gn,tasmin,2.09,,,
-4,global,Global,MPI-ESM1-2-LR,r1i1p1f1,ssp245,day,gn,tasmin,2.09,2.71,,
-4,global,Global,MPI-ESM1-2-LR,r1i1p1f1,ssp370,day,gn,tasmin,2.07,2.79,4.05,
-4,global,Global,MPI-ESM1-2-LR,r1i1p1f1,ssp585,day,gn,tasmin,2.13,2.77,3.99,
-4,global,Global,MRI-ESM2-0,r1i1p1f1,ssp119,day,gn,tasmin,2.18,,,
-4,global,Global,MRI-ESM2-0,r1i1p1f1,ssp126,day,gn,tasmin,2.13,,,
-4,global,Global,MRI-ESM2-0,r1i1p1f1,ssp245,day,gn,tasmin,2.13,2.89,,
-4,global,Global,MRI-ESM2-0,r1i1p1f1,ssp370,day,gn,tasmin,2.24,2.95,4.25,
-4,global,Global,MRI-ESM2-0,r1i1p1f1,ssp585,day,gn,tasmin,2.26,2.93,4.18,5.62
-4,global,Global,NESM3,r1i1p1f1,ssp126,day,gn,tasmin,2.03,2.71,,
-4,global,Global,NESM3,r1i1p1f1,ssp245,day,gn,tasmin,2.08,2.68,,
-4,global,Global,NESM3,r1i1p1f1,ssp585,day,gn,tasmin,1.99,2.67,3.94,5.19
-4,global,Global,NorESM2-MM,r1i1p1f1,ssp245,day,gn,tasmin,1.72,2.28,,
-4,global,Global,NorESM2-MM,r1i1p1f1,ssp370,day,gn,tasmin,1.63,2.23,3.48,
-4,global,Global,NorESM2-MM,r1i1p1f1,ssp585,day,gn,tasmin,1.73,2.27,3.44,
-4,global,Global,UKESM1-0-LL,r1i1p1f2,ssp119,day,gn,tasmin,2.04,2.57,,
-4,global,Global,UKESM1-0-LL,r1i1p1f2,ssp126,day,gn,tasmin,2.03,2.56,,
-4,global,Global,UKESM1-0-LL,r1i1p1f2,ssp245,day,gn,tasmin,2.04,2.64,3.8,5.17
-4,global,Global,UKESM1-0-LL,r1i1p1f2,ssp370,day,gn,tasmin,2.06,2.68,3.82,5.07
-4,global,Global,UKESM1-0-LL,r1i1p1f2,ssp585,day,gn,tasmin,2.03,2.63,3.9,5.16
-3,ocean,Ocean,ACCESS-CM2,r1i1p1f1,ssp126,day,gn,tasmin,1.8,2.36,,
-3,ocean,Ocean,ACCESS-CM2,r1i1p1f1,ssp245,day,gn,tasmin,1.75,2.27,3.44,
-3,ocean,Ocean,ACCESS-CM2,r1i1p1f1,ssp370,day,gn,tasmin,1.77,2.33,3.39,4.55
-3,ocean,Ocean,ACCESS-CM2,r1i1p1f1,ssp585,day,gn,tasmin,1.72,2.25,3.39,4.52
-3,ocean,Ocean,ACCESS-ESM1-5,r1i1p1f1,ssp126,day,gn,tasmin,1.5,2.09,,
-3,ocean,Ocean,ACCESS-ESM1-5,r1i1p1f1,ssp245,day,gn,tasmin,1.52,2.06,,
-3,ocean,Ocean,ACCESS-ESM1-5,r1i1p1f1,ssp370,day,gn,tasmin,1.53,2.03,3.21,
-3,ocean,Ocean,ACCESS-ESM1-5,r1i1p1f1,ssp585,day,gn,tasmin,1.48,2.02,3.15,4.36
-3,ocean,Ocean,AWI-CM-1-1-MR,r1i1p1f1,ssp126,day,gn,tasmin,1.93,2.5,,
-3,ocean,Ocean,AWI-CM-1-1-MR,r1i1p1f1,ssp245,day,gn,tasmin,1.9,2.5,,
-3,ocean,Ocean,AWI-CM-1-1-MR,r1i1p1f1,ssp370,day,gn,tasmin,1.92,2.47,3.66,
-3,ocean,Ocean,AWI-CM-1-1-MR,r1i1p1f1,ssp585,day,gn,tasmin,1.9,2.44,3.66,4.9
-3,ocean,Ocean,BCC-CSM2-MR,r1i1p1f1,ssp126,day,gn,tasmin,1.83,,,
-3,ocean,Ocean,BCC-CSM2-MR,r1i1p1f1,ssp245,day,gn,tasmin,1.7,2.26,,
-3,ocean,Ocean,BCC-CSM2-MR,r1i1p1f1,ssp370,day,gn,tasmin,1.75,2.26,3.25,
-3,ocean,Ocean,BCC-CSM2-MR,r1i1p1f1,ssp585,day,gn,tasmin,1.74,2.32,3.36,
-3,ocean,Ocean,CMCC-CM2-SR5,r1i1p1f1,ssp126,day,gn,tasmin,1.8,2.39,,
-3,ocean,Ocean,CMCC-CM2-SR5,r1i1p1f1,ssp245,day,gn,tasmin,1.76,2.31,3.47,
-3,ocean,Ocean,CMCC-CM2-SR5,r1i1p1f1,ssp370,day,gn,tasmin,1.79,2.36,3.45,4.58
-3,ocean,Ocean,CMCC-CM2-SR5,r1i1p1f1,ssp585,day,gn,tasmin,1.81,2.4,3.47,4.54
-3,ocean,Ocean,CNRM-CM6-1,r1i1p1f2,ssp126,day,gr,tasmin,1.73,2.3,,
-3,ocean,Ocean,CNRM-CM6-1,r1i1p1f2,ssp245,day,gr,tasmin,1.73,2.32,3.52,
-3,ocean,Ocean,CNRM-CM6-1,r1i1p1f2,ssp370,day,gr,tasmin,1.74,2.29,3.48,4.72
-3,ocean,Ocean,CNRM-CM6-1,r1i1p1f2,ssp585,day,gr,tasmin,1.8,2.28,3.46,4.59
-3,ocean,Ocean,CNRM-CM6-1-HR,r1i1p1f2,ssp126,day,gr,tasmin,2.09,2.72,,
-3,ocean,Ocean,CNRM-CM6-1-HR,r1i1p1f2,ssp585,day,gr,tasmin,2.04,2.61,3.76,4.96
-3,ocean,Ocean,CNRM-ESM2-1,r1i1p1f2,ssp119,day,gr,tasmin,1.7,,,
-3,ocean,Ocean,CNRM-ESM2-1,r1i1p1f2,ssp126,day,gr,tasmin,1.58,,,
-3,ocean,Ocean,CNRM-ESM2-1,r1i1p1f2,ssp245,day,gr,tasmin,1.63,2.23,3.49,
-3,ocean,Ocean,CNRM-ESM2-1,r1i1p1f2,ssp370,day,gr,tasmin,1.61,2.18,3.35,4.53
-3,ocean,Ocean,CNRM-ESM2-1,r1i1p1f2,ssp585,day,gr,tasmin,1.58,2.12,3.35,4.57
-3,ocean,Ocean,CanESM5,r1i1p1f1,ssp119,day,gn,tasmin,1.64,2.22,,
-3,ocean,Ocean,CanESM5,r1i1p1f1,ssp126,day,gn,tasmin,1.64,2.27,,
-3,ocean,Ocean,CanESM5,r1i1p1f1,ssp245,day,gn,tasmin,1.64,2.24,3.3,4.5
-3,ocean,Ocean,CanESM5,r1i1p1f1,ssp370,day,gn,tasmin,1.67,2.27,3.39,4.45
-3,ocean,Ocean,CanESM5,r1i1p1f1,ssp585,day,gn,tasmin,1.65,2.22,3.33,4.44
-3,ocean,Ocean,EC-Earth3,r1i1p1f1,ssp126,day,gr,tasmin,1.76,2.26,,
-3,ocean,Ocean,EC-Earth3,r1i1p1f1,ssp245,day,gr,tasmin,1.71,2.29,3.36,
-3,ocean,Ocean,EC-Earth3,r1i1p1f1,ssp370,day,gr,tasmin,1.76,2.26,3.33,4.38
-3,ocean,Ocean,EC-Earth3,r1i1p1f1,ssp585,day,gr,tasmin,1.72,2.28,3.28,4.3
-3,ocean,Ocean,EC-Earth3-AerChem,r1i1p1f1,ssp370,day,gr,tasmin,1.6,2.12,3.22,4.26
-3,ocean,Ocean,EC-Earth3-Veg,r1i1p1f1,ssp119,day,gr,tasmin,1.89,2.38,,
-3,ocean,Ocean,EC-Earth3-Veg,r1i1p1f1,ssp126,day,gr,tasmin,1.87,2.34,,
-3,ocean,Ocean,EC-Earth3-Veg,r1i1p1f1,ssp245,day,gr,tasmin,1.86,2.39,3.41,
