# cmip6: regional means at warming levels for individual models - CDD
# anomalies w.r.t. 1850-1900
# warming levels: +1.5°C, +2.0°C, +3.0°C, +4.0°C
# index: CDD
# variable: pr
# units: day
,region,abbrevs,names,model,ens,exp,table,grid,varn,1.5,2.0,3.0,4.0
55,-4,global,Global,EC-Earth3-Veg-LR,r1i1p1f1,ssp370,day,gr,pr,1.03,1.34,1.88,2.37
56,-4,global,Global,EC-Earth3-Veg-LR,r1i1p1f1,ssp585,day,gr,pr,1.09,1.4,2.01,2.67
57,-4,global,Global,FGOALS-g3,r1i1p1f1,ssp245,day,gn,pr,-0.24,-0.52,,
58,-4,global,Global,FGOALS-g3,r1i1p1f1,ssp370,day,gn,pr,-0.34,-0.69,-1.0,
59,-4,global,Global,FGOALS-g3,r1i1p1f1,ssp585,day,gn,pr,-0.4,-0.5,-1.26,
60,-4,global,Global,GFDL-CM4,r1i1p1f1,ssp245,day,gr1,pr,1.3,1.31,,
61,-4,global,Global,GFDL-CM4,r1i1p1f1,ssp585,day,gr1,pr,1.48,1.92,2.65,3.45
62,-4,global,Global,GFDL-ESM4,r1i1p1f1,ssp245,day,gr1,pr,1.96,1.76,,
63,-4,global,Global,GFDL-ESM4,r1i1p1f1,ssp370,day,gr1,pr,2.99,3.7,4.18,
64,-4,global,Global,GFDL-ESM4,r1i1p1f1,ssp585,day,gr1,pr,2.21,3.07,3.77,
65,-4,global,Global,HadGEM3-GC31-LL,r1i1p1f3,ssp126,day,gn,pr,0.28,0.58,,
66,-4,global,Global,HadGEM3-GC31-LL,r1i1p1f3,ssp245,day,gn,pr,1.03,0.84,1.54,
67,-4,global,Global,HadGEM3-GC31-LL,r1i1p1f3,ssp585,day,gn,pr,0.87,0.42,0.72,1.56
68,-4,global,Global,HadGEM3-GC31-MM,r1i1p1f3,ssp126,day,gn,pr,1.07,1.04,,
69,-4,global,Global,HadGEM3-GC31-MM,r1i1p1f3,ssp585,day,gn,pr,1.25,1.21,1.2,1.54
70,-4,global,Global,IITM-ESM,r1i1p1f1,ssp126,day,gn,pr,1.36,,,
71,-4,global,Global,IITM-ESM,r1i1p1f1,ssp245,day,gn,pr,1.3,1.12,,
72,-4,global,Global,IITM-ESM,r1i1p1f1,ssp585,day,gn,pr,1.29,2.07,2.59,
73,-4,global,Global,INM-CM4-8,r1i1p1f1,ssp126,day,gr1,pr,-0.55,,,
74,-4,global,Global,INM-CM4-8,r1i1p1f1,ssp245,day,gr1,pr,-0.4,-0.73,,
75,-4,global,Global,INM-CM4-8,r1i1p1f1,ssp370,day,gr1,pr,-0.58,-0.78,-1.12,
76,-4,global,Global,INM-CM4-8,r1i1p1f1,ssp585,day,gr1,pr,-0.5,-0.58,-1.42,
77,-4,global,Global,INM-CM5-0,r1i1p1f1,ssp126,day,gr1,pr,-0.73,,,
78,-4,global,Global,INM-CM5-0,r1i1p1f1,ssp245,day,gr1,pr,-0.67,-0.77,,
79,-4,global,Global,INM-CM5-0,r1i1p1f1,ssp370,day,gr1,pr,-0.66,-0.7,-1.15,
