# cmip6: multi-model-median regional means at warming levels - TXx
# anomalies w.r.t. 1850-1900
# warming levels: +1.5°C, +2.0°C, +3.0°C, +4.0°C
# index: TXx
# variable: tasmax
# units: °C
,region,abbrevs,names,model,ens,exp,postprocess,table,grid,varn,1.5,2.0,3.0,4.0
43,-4,global,Global,EC-Earth3-Veg,r1i1p1f1,ssp245,txx_reg_ave_ar6,day,gr,tasmax,1.27,1.77,2.76,
44,-4,global,Global,EC-Earth3-Veg,r1i1p1f1,ssp370,txx_reg_ave_ar6,day,gr,tasmax,1.25,1.78,2.78,3.8
45,-4,global,Global,EC-Earth3-Veg,r1i1p1f1,ssp585,txx_reg_ave_ar6,day,gr,tasmax,1.26,1.73,2.8,3.79
46,-4,global,Global,EC-Earth3-Veg-LR,r1i1p1f1,ssp119,txx_reg_ave_ar6,day,gr,tasmax,1.37,,,
47,-4,global,Global,EC-Earth3-Veg-LR,r1i1p1f1,ssp126,txx_reg_ave_ar6,day,gr,tasmax,1.39,,,
48,-4,global,Global,EC-Earth3-Veg-LR,r1i1p1f1,ssp245,txx_reg_ave_ar6,day,gr,tasmax,1.34,1.87,2.83,
49,-4,global,Global,EC-Earth3-Veg-LR,r1i1p1f1,ssp370,txx_reg_ave_ar6,day,gr,tasmax,1.38,1.9,2.86,3.88
50,-4,global,Global,EC-Earth3-Veg-LR,r1i1p1f1,ssp585,txx_reg_ave_ar6,day,gr,tasmax,1.38,1.88,2.87,3.9
51,-4,global,Global,FGOALS-g3,r1i1p1f1,ssp245,txx_reg_ave_ar6,day,gn,tasmax,1.35,1.82,,
52,-4,global,Global,FGOALS-g3,r1i1p1f1,ssp370,txx_reg_ave_ar6,day,gn,tasmax,1.33,1.79,2.76,
53,-4,global,Global,FGOALS-g3,r1i1p1f1,ssp585,txx_reg_ave_ar6,day,gn,tasmax,1.37,1.81,2.74,
54,-4,global,Global,GFDL-CM4,r1i1p1f1,ssp245,txx_reg_ave_ar6,day,gr1,tasmax,1.43,1.91,,
55,-4,global,Global,GFDL-CM4,r1i1p1f1,ssp585,txx_reg_ave_ar6,day,gr1,tasmax,1.4,1.91,2.91,3.95
56,-4,global,Global,GFDL-ESM4,r1i1p1f1,ssp245,txx_reg_ave_ar6,day,gr1,tasmax,1.43,1.96,,
57,-4,global,Global,GFDL-ESM4,r1i1p1f1,ssp370,txx_reg_ave_ar6,day,gr1,tasmax,1.48,1.95,2.93,
58,-4,global,Global,GFDL-ESM4,r1i1p1f1,ssp585,txx_reg_ave_ar6,day,gr1,tasmax,1.46,1.99,2.93,
59,-4,global,Global,HadGEM3-GC31-LL,r1i1p1f3,ssp126,txx_reg_ave_ar6,day,gn,tasmax,1.53,2.04,,
60,-4,global,Global,HadGEM3-GC31-LL,r1i1p1f3,ssp245,txx_reg_ave_ar6,day,gn,tasmax,1.51,2.01,3.03,
61,-4,global,Global,HadGEM3-GC31-LL,r1i1p1f3,ssp585,txx_reg_ave_ar6,day,gn,tasmax,1.55,2.07,3.06,4.1
62,-4,global,Global,HadGEM3-GC31-MM,r1i1p1f3,ssp126,txx_reg_ave_ar6,day,gn,tasmax,1.52,2.02,,
63,-4,global,Global,HadGEM3-GC31-MM,r1i1p1f3,ssp585,txx_reg_ave_ar6,day,gn,tasmax,1.54,2.03,3.03,4.11
64,-4,global,Global,INM-CM4-8,r1i1p1f1,ssp126,txx_reg_ave_ar6,day,gr1,tasmax,1.42,,,
65,-4,global,Global,INM-CM4-8,r1i1p1f1,ssp245,txx_reg_ave_ar6,day,gr1,tasmax,1.42,1.89,,
66,-4,global,Global,INM-CM4-8,r1i1p1f1,ssp370,txx_reg_ave_ar6,day,gr1,tasmax,1.44,1.91,2.84,
67,-4,global,Global,INM-CM4-8,r1i1p1f1,ssp585,txx_reg_ave_ar6,day,gr1,tasmax,1.45,1.93,2.82,
68,-4,global,Global,INM-CM5-0,r1i1p1f1,ssp126,txx_reg_ave_ar6,day,gr1,tasmax,1.37,,,
69,-4,global,Global,INM-CM5-0,r1i1p1f1,ssp245,txx_reg_ave_ar6,day,gr1,tasmax,1.42,1.89,,
70,-4,global,Global,INM-CM5-0,r1i1p1f1,ssp370,txx_reg_ave_ar6,day,gr1,tasmax,1.39,1.87,2.82,
71,-4,global,Global,INM-CM5-0,r1i1p1f1,ssp585,txx_reg_ave_ar6,day,gr1,tasmax,1.39,1.92,2.86,
72,-4,global,Global,IPSL-CM6A-LR,r1i1p1f1,ssp119,txx_reg_ave_ar6,day,gr,tasmax,1.35,1.81,,
73,-4,global,Global,IPSL-CM6A-LR,r1i1p1f1,ssp126,txx_reg_ave_ar6,day,gr,tasmax,1.32,1.84,,
74,-4,global,Global,IPSL-CM6A-LR,r1i1p1f1,ssp245,txx_reg_ave_ar6,day,gr,tasmax,1.33,1.81,2.8,
75,-4,global,Global,IPSL-CM6A-LR,r1i1p1f1,ssp370,txx_reg_ave_ar6,day,gr,tasmax,1.34,1.83,2.79,3.84
76,-4,global,Global,IPSL-CM6A-LR,r1i1p1f1,ssp585,txx_reg_ave_ar6,day,gr,tasmax,1.34,1.88,2.81,3.83
77,-4,global,Global,KACE-1-0-G,r1i1p1f1,ssp126,txx_reg_ave_ar6,day,gr,tasmax,1.46,2.0,,
78,-4,global,Global,KACE-1-0-G,r1i1p1f1,ssp585,txx_reg_ave_ar6,day,gr,tasmax,1.46,1.98,3.0,4.0
79,-4,global,Global,KIOST-ESM,r1i1p1f1,ssp126,txx_reg_ave_ar6,day,gr1,tasmax,1.33,,,
80,-4,global,Global,MIROC-ES2L,r1i1p1f2,ssp126,txx_reg_ave_ar6,day,gn,tasmax,1.5,,,
81,-4,global,Global,MIROC-ES2L,r1i1p1f2,ssp245,txx_reg_ave_ar6,day,gn,tasmax,1.46,1.95,,
82,-4,global,Global,MIROC-ES2L,r1i1p1f2,ssp370,txx_reg_ave_ar6,day,gn,tasmax,1.43,1.95,2.91,
83,-4,global,Global,MIROC-ES2L,r1i1p1f2,ssp585,txx_reg_ave_ar6,day,gn,tasmax,1.48,1.94,2.94,
84,-4,global,Global,MIROC6,r1i1p1f1,ssp126,txx_reg_ave_ar6,day,gn,tasmax,1.49,,,
85,-4,global,Global,MIROC6,r1i1p1f1,ssp245,txx_reg_ave_ar6,day,gn,tasmax,1.51,2.03,,
86,-4,global,Global,MIROC6,r1i1p1f1,ssp370,txx_reg_ave_ar6,day,gn,tasmax,1.47,1.96,,
87,-4,global,Global,MIROC6,r1i1p1f1,ssp585,txx_reg_ave_ar6,day,gn,tasmax,1.51,2.08,3.08,
88,-4,global,Global,MPI-ESM1-2-HR,r1i1p1f1,ssp126,txx_reg_ave_ar6,day,gn,tasmax,1.33,,,
89,-4,global,Global,MPI-ESM1-2-HR,r1i1p1f1,ssp245,txx_reg_ave_ar6,day,gn,tasmax,1.35,1.81,,
90,-4,global,Global,MPI-ESM1-2-HR,r1i1p1f1,ssp370,txx_reg_ave_ar6,day,gn,tasmax,1.37,1.81,2.75,
91,-4,global,Global,MPI-ESM1-2-HR,r1i1p1f1,ssp585,txx_reg_ave_ar6,day,gn,tasmax,1.37,1.83,2.79,
92,-4,global,Global,MPI-ESM1-2-LR,r1i1p1f1,ssp126,txx_reg_ave_ar6,day,gn,tasmax,1.31,,,
