# cmip6: multi-model-median regional means at warming levels - SM_top
# anomalies w.r.t. 1850-1900
# warming levels: +1.5°C, +2.0°C, +3.0°C, +4.0°C
# index: SM_top
# variable: mrsos
# units: σ
,region,abbrevs,names,model,ens,exp,postprocess,table,grid,varn,1.5,2.0,3.0,4.0
44,-4,global,Global,CanESM5-CanOE,r1i1p2f1,ssp370,sm_annmean_reg_ave_ar6,Lmon,gn,mrsos,,,,
45,-4,global,Global,CanESM5-CanOE,r1i1p2f1,ssp585,sm_annmean_reg_ave_ar6,Lmon,gn,mrsos,,,,
46,-4,global,Global,E3SM-1-1,r1i1p1f1,ssp585,sm_annmean_reg_ave_ar6,Lmon,gr,mrsos,,,,
47,-4,global,Global,EC-Earth3,r1i1p1f1,ssp126,sm_annmean_reg_ave_ar6,Lmon,gr,mrsos,,,,
48,-4,global,Global,EC-Earth3,r1i1p1f1,ssp245,sm_annmean_reg_ave_ar6,Lmon,gr,mrsos,,,,
49,-4,global,Global,EC-Earth3,r1i1p1f1,ssp370,sm_annmean_reg_ave_ar6,Lmon,gr,mrsos,,,,
50,-4,global,Global,EC-Earth3,r1i1p1f1,ssp585,sm_annmean_reg_ave_ar6,Lmon,gr,mrsos,,,,
51,-4,global,Global,EC-Earth3-AerChem,r1i1p1f1,ssp370,sm_annmean_reg_ave_ar6,Lmon,gr,mrsos,,,,
52,-4,global,Global,EC-Earth3-CC,r1i1p1f1,ssp245,sm_annmean_reg_ave_ar6,Lmon,gr,mrsos,,,,
53,-4,global,Global,EC-Earth3-CC,r1i1p1f1,ssp585,sm_annmean_reg_ave_ar6,Lmon,gr,mrsos,,,,
54,-4,global,Global,EC-Earth3-Veg,r1i1p1f1,ssp119,sm_annmean_reg_ave_ar6,Lmon,gr,mrsos,,,,
55,-4,global,Global,EC-Earth3-Veg,r1i1p1f1,ssp126,sm_annmean_reg_ave_ar6,Lmon,gr,mrsos,,,,
56,-4,global,Global,EC-Earth3-Veg,r1i1p1f1,ssp245,sm_annmean_reg_ave_ar6,Lmon,gr,mrsos,,,,
57,-4,global,Global,EC-Earth3-Veg,r1i1p1f1,ssp370,sm_annmean_reg_ave_ar6,Lmon,gr,mrsos,,,,
58,-4,global,Global,EC-Earth3-Veg,r1i1p1f1,ssp585,sm_annmean_reg_ave_ar6,Lmon,gr,mrsos,,,,
59,-4,global,Global,EC-Earth3-Veg-LR,r1i1p1f1,ssp119,sm_annmean_reg_ave_ar6,Lmon,gr,mrsos,,,,
60,-4,global,Global,EC-Earth3-Veg-LR,r1i1p1f1,ssp126,sm_annmean_reg_ave_ar6,Lmon,gr,mrsos,,,,
61,-4,global,Global,EC-Earth3-Veg-LR,r1i1p1f1,ssp245,sm_annmean_reg_ave_ar6,Lmon,gr,mrsos,,,,
62,-4,global,Global,EC-Earth3-Veg-LR,r1i1p1f1,ssp370,sm_annmean_reg_ave_ar6,Lmon,gr,mrsos,,,,
63,-4,global,Global,EC-Earth3-Veg-LR,r1i1p1f1,ssp585,sm_annmean_reg_ave_ar6,Lmon,gr,mrsos,,,,
64,-4,global,Global,FGOALS-f3-L,r1i1p1f1,ssp126,sm_annmean_reg_ave_ar6,Lmon,gn,mrsos,,,,
65,-4,global,Global,FGOALS-f3-L,r1i1p1f1,ssp245,sm_annmean_reg_ave_ar6,Lmon,gn,mrsos,,,,
66,-4,global,Global,FGOALS-f3-L,r1i1p1f1,ssp370,sm_annmean_reg_ave_ar6,Lmon,gn,mrsos,,,,
67,-4,global,Global,FGOALS-f3-L,r1i1p1f1,ssp585,sm_annmean_reg_ave_ar6,Lmon,gn,mrsos,,,,
68,-4,global,Global,FIO-ESM-2-0,r1i1p1f1,ssp126,sm_annmean_reg_ave_ar6,Lmon,gn,mrsos,,,,
69,-4,global,Global,FIO-ESM-2-0,r1i1p1f1,ssp245,sm_annmean_reg_ave_ar6,Lmon,gn,mrsos,,,,
